Year,Month,State,City,AVG_Dry_Spell
2006,January,MD,Adelphi,0.6666666666666666
2006,February,MD,Adelphi,0.5238095238095238
2006,March,MD,Adelphi,0.6190476190476191
2006,April,MD,Adelphi,0.42857142857142855
2006,May,MD,Adelphi,0.38095238095238093
2006,June,MD,Adelphi,0.09523809523809523
2006,July,MD,Adelphi,0.3333333333333333
2006,August,MD,Adelphi,0.2857142857142857
2006,September,MD,Adelphi,0.5714285714285714
2006,October,MD,Adelphi,0.47619047619047616
2006,November,MD,Adelphi,0.6666666666666666
2006,December,MD,Adelphi,0.3333333333333333
2007,January,MD,Adelphi,0.8571428571428571
2007,February,MD,Adelphi,0.8095238095238095
2007,March,MD,Adelphi,0.3333333333333333
2007,April,MD,Adelphi,0.3333333333333333
2007,May,MD,Adelphi,0.23809523809523808
2007,June,MD,Adelphi,0.47619047619047616
2007,July,MD,Adelphi,0.19047619047619047
2007,August,MD,Adelphi,0.2857142857142857
2007,September,MD,Adelphi,0.7142857142857143
2007,October,MD,Adelphi,0.6190476190476191
2007,November,MD,Adelphi,0.8095238095238095
2007,December,MD,Adelphi,0.5238095238095238
2008,January,MD,Adelphi,0.7619047619047619
2008,February,MD,Adelphi,0.8571428571428571
2008,March,MD,Adelphi,0.42857142857142855
2008,April,MD,Adelphi,0.2857142857142857
2008,May,MD,Adelphi,0.19047619047619047
2008,June,MD,Adelphi,0.09523809523809523
2008,July,MD,Adelphi,0.38095238095238093
2008,August,MD,Adelphi,0.23809523809523808
2008,September,MD,Adelphi,0.6190476190476191
2008,October,MD,Adelphi,0.5714285714285714
2008,November,MD,Adelphi,0.3333333333333333
2008,December,MD,Adelphi,0.38095238095238093
2009,January,MD,Adelphi,0.5714285714285714
2009,February,MD,Adelphi,0.5238095238095238
2009,March,MD,Adelphi,0.42857142857142855
2009,April,MD,Adelphi,0.3333333333333333
2009,May,MD,Adelphi,0.2857142857142857
2009,June,MD,Adelphi,0.23809523809523808
2009,July,MD,Adelphi,0.2857142857142857
2009,August,MD,Adelphi,0.42857142857142855
2009,September,MD,Adelphi,0.8095238095238095
2009,October,MD,Adelphi,0.8571428571428571
2009,November,MD,Adelphi,0.23809523809523808
2009,December,MD,Adelphi,0.42857142857142855
2010,January,MD,Adelphi,0.7142857142857143
2010,February,MD,Adelphi,0.5238095238095238
2010,March,MD,Adelphi,0.7142857142857143
2010,April,MD,Adelphi,0.47619047619047616
2010,May,MD,Adelphi,0.42857142857142855
2010,June,MD,Adelphi,0.38095238095238093
2010,July,MD,Adelphi,0.38095238095238093
2010,August,MD,Adelphi,0.5238095238095238
2010,September,MD,Adelphi,0.42857142857142855
2010,October,MD,Adelphi,0.8571428571428571
2010,November,MD,Adelphi,0.38095238095238093
2010,December,MD,Adelphi,0.47619047619047616
2011,January,MD,Adelphi,0.7142857142857143
2011,February,MD,Adelphi,0.9047619047619048
2011,March,MD,Adelphi,0.42857142857142855
2011,April,MD,Adelphi,0.3333333333333333
2011,May,MD,Adelphi,0.42857142857142855
2011,June,MD,Adelphi,0.3333333333333333
2011,July,MD,Adelphi,0.23809523809523808
2011,August,MD,Adelphi,0.38095238095238093
2011,September,MD,Adelphi,0.5238095238095238
2011,October,MD,Adelphi,0.7619047619047619
2011,November,MD,Adelphi,0.5238095238095238
2011,December,MD,Adelphi,0.38095238095238093
2012,January,MD,Adelphi,0.8095238095238095
2012,February,MD,Adelphi,0.5714285714285714
2012,March,MD,Adelphi,0.3333333333333333
2012,April,MD,Adelphi,0.3333333333333333
2012,May,MD,Adelphi,0.3333333333333333
2012,June,MD,Adelphi,0.23809523809523808
2012,July,MD,Adelphi,0.23809523809523808
2012,August,MD,Adelphi,0.42857142857142855
2012,September,MD,Adelphi,0.47619047619047616
2012,October,MD,Adelphi,0.5238095238095238
2012,November,MD,Adelphi,0.23809523809523808
2012,December,MD,Adelphi,0.42857142857142855
2013,January,MD,Adelphi,0.7142857142857143
2013,February,MD,Adelphi,0.8095238095238095
2013,March,MD,Adelphi,0.7142857142857143
2013,April,MD,Adelphi,0.47619047619047616
2013,May,MD,Adelphi,0.3333333333333333
2013,June,MD,Adelphi,0.23809523809523808
2013,July,MD,Adelphi,0.3333333333333333
2013,August,MD,Adelphi,0.2857142857142857
2013,September,MD,Adelphi,0.6190476190476191
2013,October,MD,Adelphi,0.5714285714285714
2013,November,MD,Adelphi,0.5238095238095238
2013,December,MD,Adelphi,0.6666666666666666
2014,January,MD,Adelphi,0.9047619047619048
2014,February,MD,Adelphi,0.8095238095238095
2014,March,MD,Adelphi,0.42857142857142855
2014,April,MD,Adelphi,0.2857142857142857
2014,May,MD,Adelphi,0.23809523809523808
2014,June,MD,Adelphi,0.14285714285714285
2014,July,MD,Adelphi,0.23809523809523808
2014,August,MD,Adelphi,0.2857142857142857
2014,September,MD,Adelphi,0.6190476190476191
2014,October,MD,Adelphi,0.6666666666666666
2014,November,MD,Adelphi,0.5714285714285714
2014,December,MD,Adelphi,0.5714285714285714
2015,January,MD,Adelphi,0.8571428571428571
2015,February,MD,Adelphi,0.7619047619047619
2015,March,MD,Adelphi,0.5714285714285714
2015,April,MD,Adelphi,0.5714285714285714
2015,May,MD,Adelphi,0.23809523809523808
2015,June,MD,Adelphi,0.19047619047619047
2015,July,MD,Adelphi,0.47619047619047616
2015,August,MD,Adelphi,0.5714285714285714
2015,September,MD,Adelphi,0.47619047619047616
2015,October,MD,Adelphi,0.7619047619047619
2015,November,MD,Adelphi,0.6666666666666666
2015,December,MD,Adelphi,0.42857142857142855
2016,January,MD,Adelphi,0.8571428571428571
2016,February,MD,Adelphi,1.0
