Year,Month,State,City,AVG_Frost_Days
2006,January,MD,Adelphi,23.333333333333332
2006,February,MD,Adelphi,16.0
2006,March,MD,Adelphi,12.80952380952381
2006,April,MD,Adelphi,2.619047619047619
2006,May,MD,Adelphi,0.09523809523809523
2006,June,MD,Adelphi,0.0
2006,July,MD,Adelphi,0.0
2006,August,MD,Adelphi,0.0
2006,September,MD,Adelphi,0.0
2006,October,MD,Adelphi,0.42857142857142855
2006,November,MD,Adelphi,7.761904761904762
2006,December,MD,Adelphi,18.666666666666668
2007,January,MD,Adelphi,21.19047619047619
2007,February,MD,Adelphi,16.095238095238095
2007,March,MD,Adelphi,10.19047619047619
2007,April,MD,Adelphi,1.4761904761904763
2007,May,MD,Adelphi,0.14285714285714285
2007,June,MD,Adelphi,0.0
2007,July,MD,Adelphi,0.0
2007,August,MD,Adelphi,0.0
2007,September,MD,Adelphi,0.0
2007,October,MD,Adelphi,0.9047619047619048
2007,November,MD,Adelphi,6.190476190476191
2007,December,MD,Adelphi,21.904761904761905
2008,January,MD,Adelphi,23.476190476190474
2008,February,MD,Adelphi,16.714285714285715
2008,March,MD,Adelphi,9.476190476190476
2008,April,MD,Adelphi,2.0952380952380953
2008,May,MD,Adelphi,0.0
2008,June,MD,Adelphi,0.0
2008,July,MD,Adelphi,0.0
2008,August,MD,Adelphi,0.0
2008,September,MD,Adelphi,0.0
2008,October,MD,Adelphi,0.6666666666666666
2008,November,MD,Adelphi,5.9523809523809526
2008,December,MD,Adelphi,17.285714285714285
2009,January,MD,Adelphi,21.571428571428573
2009,February,MD,Adelphi,17.0
2009,March,MD,Adelphi,12.333333333333334
2009,April,MD,Adelphi,2.9523809523809526
2009,May,MD,Adelphi,0.047619047619047616
2009,June,MD,Adelphi,0.0
2009,July,MD,Adelphi,0.0
2009,August,MD,Adelphi,0.0
2009,September,MD,Adelphi,0.0
2009,October,MD,Adelphi,0.7142857142857143
2009,November,MD,Adelphi,6.476190476190476
2009,December,MD,Adelphi,19.38095238095238
2010,January,MD,Adelphi,21.476190476190474
2010,February,MD,Adelphi,18.523809523809526
2010,March,MD,Adelphi,12.476190476190476
2010,April,MD,Adelphi,1.4285714285714286
2010,May,MD,Adelphi,0.0
2010,June,MD,Adelphi,0.0
2010,July,MD,Adelphi,0.0
2010,August,MD,Adelphi,0.0
2010,September,MD,Adelphi,0.0
2010,October,MD,Adelphi,0.3333333333333333
2010,November,MD,Adelphi,5.714285714285714
2010,December,MD,Adelphi,18.047619047619047
2011,January,MD,Adelphi,23.476190476190474
2011,February,MD,Adelphi,16.714285714285715
2011,March,MD,Adelphi,9.619047619047619
2011,April,MD,Adelphi,1.5714285714285714
2011,May,MD,Adelphi,0.0
2011,June,MD,Adelphi,0.0
2011,July,MD,Adelphi,0.0
2011,August,MD,Adelphi,0.0
2011,September,MD,Adelphi,0.0
2011,October,MD,Adelphi,0.38095238095238093
2011,November,MD,Adelphi,6.285714285714286
2011,December,MD,Adelphi,19.80952380952381
2012,January,MD,Adelphi,21.61904761904762
2012,February,MD,Adelphi,17.857142857142858
2012,March,MD,Adelphi,10.142857142857142
2012,April,MD,Adelphi,2.1904761904761907
2012,May,MD,Adelphi,0.047619047619047616
2012,June,MD,Adelphi,0.0
2012,July,MD,Adelphi,0.0
2012,August,MD,Adelphi,0.0
2012,September,MD,Adelphi,0.0
2012,October,MD,Adelphi,0.2857142857142857
2012,November,MD,Adelphi,5.095238095238095
2012,December,MD,Adelphi,17.476190476190474
2013,January,MD,Adelphi,20.80952380952381
2013,February,MD,Adelphi,15.428571428571429
2013,March,MD,Adelphi,10.047619047619047
2013,April,MD,Adelphi,2.0476190476190474
2013,May,MD,Adelphi,0.047619047619047616
2013,June,MD,Adelphi,0.0
2013,July,MD,Adelphi,0.0
2013,August,MD,Adelphi,0.0
2013,September,MD,Adelphi,0.0
2013,October,MD,Adelphi,0.6666666666666666
2013,November,MD,Adelphi,6.904761904761905
2013,December,MD,Adelphi,17.095238095238095
2014,January,MD,Adelphi,22.333333333333332
2014,February,MD,Adelphi,15.714285714285714
2014,March,MD,Adelphi,10.095238095238095
2014,April,MD,Adelphi,1.4285714285714286
2014,May,MD,Adelphi,0.0
2014,June,MD,Adelphi,0.0
2014,July,MD,Adelphi,0.0
2014,August,MD,Adelphi,0.0
2014,September,MD,Adelphi,0.0
2014,October,MD,Adelphi,0.3333333333333333
2014,November,MD,Adelphi,7.142857142857143
2014,December,MD,Adelphi,17.666666666666668
2015,January,MD,Adelphi,22.333333333333332
2015,February,MD,Adelphi,16.666666666666668
2015,March,MD,Adelphi,12.476190476190476
2015,April,MD,Adelphi,2.238095238095238
2015,May,MD,Adelphi,0.0
2015,June,MD,Adelphi,0.0
2015,July,MD,Adelphi,0.0
2015,August,MD,Adelphi,0.0
2015,September,MD,Adelphi,0.0
2015,October,MD,Adelphi,0.8095238095238095
2015,November,MD,Adelphi,8.095238095238095
2015,December,MD,Adelphi,18.428571428571427
2016,January,MD,Adelphi,21.047619047619047
2016,February,MD,Adelphi,18.38095238095238
2016,March,MD,Adelphi,9.857142857142858
2016,April,MD,Adelphi,2.1904761904761907
2016,May,MD,Adelphi,0.0
2016,June,MD,Adelphi,0.0
2016,July,MD,Adelphi,0.0
2016,August,MD,Adelphi,0.0
2016,September,MD,Adelphi,0.0
2016,October,MD,Adelphi,0.7142857142857143
2016,November,MD,Adelphi,5.0476190476190474
2016,December,MD,Adelphi,19.428571428571427
2017,January,MD,Adelphi,21.142857142857142
2017,February,MD,Adelphi,18.238095238095237
2017,March,MD,Adelphi,11.904761904761905
2017,April,MD,Adelphi,1.9523809523809523
2017,May,MD,Adelphi,0.09523809523809523
2017,June,MD,Adelphi,0.0
2017,July,MD,Adelphi,0.0
2017,August,MD,Adelphi,0.0
2017,September,MD,Adelphi,0.0
2017,October,MD,Adelphi,0.47619047619047616
2017,November,MD,Adelphi,5.761904761904762
2017,December,MD,Adelphi,18.476190476190474
2018,January,MD,Adelphi,21.333333333333332
2018,February,MD,Adelphi,17.095238095238095
2018,March,MD,Adelphi,10.380952380952381
2018,April,MD,Adelphi,1.8571428571428572
2018,May,MD,Adelphi,0.14285714285714285
2018,June,MD,Adelphi,0.0
2018,July,MD,Adelphi,0.0
2018,August,MD,Adelphi,0.0
2018,September,MD,Adelphi,0.0
2018,October,MD,Adelphi,0.7619047619047619
2018,November,MD,Adelphi,6.142857142857143
2018,December,MD,Adelphi,18.333333333333332
2019,January,MD,Adelphi,20.857142857142858
2019,February,MD,Adelphi,14.857142857142858
2019,March,MD,Adelphi,11.904761904761905
2019,April,MD,Adelphi,2.1904761904761907
2019,May,MD,Adelphi,0.09523809523809523
2019,June,MD,Adelphi,0.0
2019,July,MD,Adelphi,0.0
2019,August,MD,Adelphi,0.0
2019,September,MD,Adelphi,0.0
2019,October,MD,Adelphi,0.8095238095238095
2019,November,MD,Adelphi,5.285714285714286
2019,December,MD,Adelphi,17.571428571428573
2020,January,MD,Adelphi,20.761904761904763
2020,February,MD,Adelphi,16.333333333333332
2020,March,MD,Adelphi,11.428571428571429
2020,April,MD,Adelphi,1.380952380952381
2020,May,MD,Adelphi,0.0
2020,June,MD,Adelphi,0.0
2020,July,MD,Adelphi,0.0
2020,August,MD,Adelphi,0.0
2020,September,MD,Adelphi,0.0
2020,October,MD,Adelphi,0.5238095238095238
2020,November,MD,Adelphi,6.142857142857143
2020,December,MD,Adelphi,16.857142857142858
2021,January,MD,Adelphi,21.761904761904763
2021,February,MD,Adelphi,19.095238095238095
2021,March,MD,Adelphi,12.0
2021,April,MD,Adelphi,2.142857142857143
2021,May,MD,Adelphi,0.09523809523809523
2021,June,MD,Adelphi,0.0
2021,July,MD,Adelphi,0.0
2021,August,MD,Adelphi,0.0
2021,September,MD,Adelphi,0.0
2021,October,MD,Adelphi,0.23809523809523808
2021,November,MD,Adelphi,5.714285714285714
2021,December,MD,Adelphi,18.857142857142858
2022,January,MD,Adelphi,21.80952380952381
2022,February,MD,Adelphi,18.523809523809526
2022,March,MD,Adelphi,10.238095238095237
2022,April,MD,Adelphi,1.9523809523809523
2022,May,MD,Adelphi,0.047619047619047616
2022,June,MD,Adelphi,0.0
2022,July,MD,Adelphi,0.0
