Year,Month,State,City,AVG_Max_High_Temp
2006,January,MD,Adelphi,58.38046212332587
2006,February,MD,Adelphi,64.21097708565844
2006,March,MD,Adelphi,71.77972534179685
2006,April,MD,Adelphi,81.00382550920757
2006,May,MD,Adelphi,88.39131766183034
2006,June,MD,Adelphi,93.54691894531248
2006,July,MD,Adelphi,98.30033952985488
2006,August,MD,Adelphi,96.65558419363836
2006,September,MD,Adelphi,91.0207828194754
2006,October,MD,Adelphi,81.17541102818078
2006,November,MD,Adelphi,73.00409406389507
2006,December,MD,Adelphi,64.20650669642855
2007,January,MD,Adelphi,60.879407087053536
2007,February,MD,Adelphi,65.28217023577007
2007,March,MD,Adelphi,71.92234357561381
2007,April,MD,Adelphi,81.5952195521763
2007,May,MD,Adelphi,89.76775024414061
2007,June,MD,Adelphi,94.20562779017855
2007,July,MD,Adelphi,97.61886544363837
2007,August,MD,Adelphi,94.14270228794642
2007,September,MD,Adelphi,90.655053187779
2007,October,MD,Adelphi,80.99750313895086
2007,November,MD,Adelphi,73.22002772739954
2007,December,MD,Adelphi,63.386693812779
2008,January,MD,Adelphi,60.14413661411827
2008,February,MD,Adelphi,65.10749285016739
2008,March,MD,Adelphi,71.24486118861604
2008,April,MD,Adelphi,81.73851266043525
2008,May,MD,Adelphi,87.80376883370533
2008,June,MD,Adelphi,92.79675153459819
2008,July,MD,Adelphi,98.10012677873883
2008,August,MD,Adelphi,95.66958740234374
2008,September,MD,Adelphi,90.19142490931915
2008,October,MD,Adelphi,82.0864967564174
2008,November,MD,Adelphi,73.47765712193079
2008,December,MD,Adelphi,63.7549529157366
2009,January,MD,Adelphi,60.03282418387275
2009,February,MD,Adelphi,64.30396589006693
2009,March,MD,Adelphi,69.74888427734375
2009,April,MD,Adelphi,80.13599452427452
2009,May,MD,Adelphi,87.39239362444194
2009,June,MD,Adelphi,95.06374895368302
2009,July,MD,Adelphi,99.55627563476561
2009,August,MD,Adelphi,95.61038678850444
2009,September,MD,Adelphi,89.08687255859373
2009,October,MD,Adelphi,83.50028808593748
2009,November,MD,Adelphi,74.16283255440847
2009,December,MD,Adelphi,64.786893484933
2010,January,MD,Adelphi,60.588353097098185
2010,February,MD,Adelphi,63.8056626674107
2010,March,MD,Adelphi,71.0189953613281
2010,April,MD,Adelphi,82.53656476702007
2010,May,MD,Adelphi,88.21782523018973
2010,June,MD,Adelphi,94.16500191824774
2010,July,MD,Adelphi,98.10082519531248
2010,August,MD,Adelphi,98.2099089704241
2010,September,MD,Adelphi,92.32235403878344
2010,October,MD,Adelphi,82.68052751813615
2010,November,MD,Adelphi,74.56523821149551
2010,December,MD,Adelphi,65.41450055803568
2011,January,MD,Adelphi,59.54179286411828
2011,February,MD,Adelphi,63.89322108677453
2011,March,MD,Adelphi,71.89449584960936
2011,April,MD,Adelphi,82.19090872628347
2011,May,MD,Adelphi,90.13881086077006
2011,June,MD,Adelphi,95.78570242745533
2011,July,MD,Adelphi,99.59492658342631
2011,August,MD,Adelphi,97.21961966378346
