Year,Month,State,City,AVG_Min_Low_Temp
2006,January,MD,Adelphi,6.651906389508907
2006,February,MD,Adelphi,12.375184326171853
2006,March,MD,Adelphi,18.881910400390606
2006,April,MD,Adelphi,29.565724748883913
2006,May,MD,Adelphi,39.327333635602656
2006,June,MD,Adelphi,50.62014892578122
2006,July,MD,Adelphi,56.24015537806916
2006,August,MD,Adelphi,55.673865094866045
2006,September,MD,Adelphi,45.05716674804686
2006,October,MD,Adelphi,33.96777378627229
2006,November,MD,Adelphi,22.69283220563614
2006,December,MD,Adelphi,17.4433841378348
2007,January,MD,Adelphi,10.242959071568059
2007,February,MD,Adelphi,11.228376464843729
2007,March,MD,Adelphi,20.971504778180783
2007,April,MD,Adelphi,29.744584786551314
2007,May,MD,Adelphi,40.83370832170756
2007,June,MD,Adelphi,49.8584458705357
2007,July,MD,Adelphi,57.0804211425781
2007,August,MD,Adelphi,55.12266531808033
2007,September,MD,Adelphi,45.738986118861575
2007,October,MD,Adelphi,33.962283238002215
2007,November,MD,Adelphi,25.55249755859373
2007,December,MD,Adelphi,12.264124319893952
2008,January,MD,Adelphi,6.719048549107121
2008,February,MD,Adelphi,14.11740277971538
2008,March,MD,Adelphi,22.468949148995517
2008,April,MD,Adelphi,30.170563964843733
2008,May,MD,Adelphi,41.15204764229909
2008,June,MD,Adelphi,50.04418544224328
2008,July,MD,Adelphi,55.94819893973212
2008,August,MD,Adelphi,55.17835292271202
2008,September,MD,Adelphi,45.60779628208702
2008,October,MD,Adelphi,33.26832397460936
2008,November,MD,Adelphi,24.909242815290153
2008,December,MD,Adelphi,15.61371189662386
2009,January,MD,Adelphi,8.23808367047989
2009,February,MD,Adelphi,11.785482700892837
2009,March,MD,Adelphi,20.095405273437482
2009,April,MD,Adelphi,28.554325997488814
2009,May,MD,Adelphi,39.992453787667394
2009,June,MD,Adelphi,49.78544172014507
2009,July,MD,Adelphi,56.144399065290166
2009,August,MD,Adelphi,55.47288591657364
2009,September,MD,Adelphi,44.926806117466484
2009,October,MD,Adelphi,33.52773733956471
2009,November,MD,Adelphi,24.77557582310266
2009,December,MD,Adelphi,14.509788643973192
2010,January,MD,Adelphi,9.236995936802435
2010,February,MD,Adelphi,9.748788800920735
2010,March,MD,Adelphi,18.950763288225424
2010,April,MD,Adelphi,29.773756103515606
2010,May,MD,Adelphi,41.92198521205354
2010,June,MD,Adelphi,51.44403982979908
2010,July,MD,Adelphi,57.25981741768971
2010,August,MD,Adelphi,56.37456525530131
2010,September,MD,Adelphi,46.9524914550781
2010,October,MD,Adelphi,33.812131522042385
2010,November,MD,Adelphi,25.26297903878346
2010,December,MD,Adelphi,16.76339843749998
2011,January,MD,Adelphi,8.274703456333683
2011,February,MD,Adelphi,14.40694876534596
2011,March,MD,Adelphi,21.993330078124977
2011,April,MD,Adelphi,29.82149954659596
2011,May,MD,Adelphi,41.460894252232116
2011,June,MD,Adelphi,50.34130283900667
2011,July,MD,Adelphi,55.69983991350444
2011,August,MD,Adelphi,55.67231392996649
2011,September,MD,Adelphi,45.25431379045757
2011,October,MD,Adelphi,34.160460902622745
2011,November,MD,Adelphi,23.043552420479887
2011,December,MD,Adelphi,15.209311697823637
2012,January,MD,Adelphi,9.9250487409319
2012,February,MD,Adelphi,12.993536725725424
2012,March,MD,Adelphi,20.58411376953123
2012,April,MD,Adelphi,28.834746791294616
2012,May,MD,Adelphi,39.78865740094863
2012,June,MD,Adelphi,50.281895577566935
2012,July,MD,Adelphi,58.051212332589266
2012,August,MD,Adelphi,57.072576381138376
2012,September,MD,Adelphi,46.0470715332031
2012,October,MD,Adelphi,35.036131417410694
2012,November,MD,Adelphi,26.169884730747746
2012,December,MD,Adelphi,17.786256975446406
2013,January,MD,Adelphi,9.694080810546856
2013,February,MD,Adelphi,12.939591238839265
2013,March,MD,Adelphi,19.908739711216494
2013,April,MD,Adelphi,29.657625383649535
2013,May,MD,Adelphi,39.54080322265623
2013,June,MD,Adelphi,49.84689714704238
2013,July,MD,Adelphi,56.511622314453106
2013,August,MD,Adelphi,55.65905447823659
